Method, Data Amount, Accuracy Rate, Adjusted Rand Score, Adjusted Mutual Info Score, Time
PSC predict,15000~60000,0.671844444,0.386406975,0.457414215,174
PSC predict,0~60000,0.664616667,0.34716087,0.43754427,174
Spectral Clustering,15000,0.537133333,0.003447118,0.010288504,33363
PSC,15000,0.637733333,0.22100567,0.372476946,62385
PSC predict,15000~30000,0.6576,0.239427267,0.388760251,44
PSC predict,0~30000,0.647666667,0.230216468,0.380618598,44
PSC predict,15000~45000,0.7125,0.322514188,0.430606929,98
PSC predict,0~45000,0.687577778,0.288678015,0.411230268,98
PSC predict,15000~60000,0.7178,0.329488166,0.433562008,167
PSC predict,0~60000,0.697783333,0.302367542,0.418290743,167
Spectral Clustering,15000,0.7258,0.297393657,0.369341483,23977
PSC,15000,0.518133333,-0.013982718,0.018541598,61952
PSC predict,15000~30000,0.5588,-0.019140368,0.019115749,44
PSC predict,0~30000,0.538466667,-0.016561543,0.018828673,44
PSC predict,15000~45000,0.565366667,-0.020675419,0.019950097,101
PSC predict,0~45000,0.549622222,-0.018444519,0.019480597,101
PSC predict,15000~60000,0.568866667,-0.021709531,0.020571728,165
PSC predict,0~60000,0.556183333,-0.019777828,0.020064195,165
Spectral Clustering,15000,0.567133333,0.051840594,0.094906674,27469
PSC,15000,0.531866667,-0.002387736,0.002827421,61769
PSC predict,15000~30000,0.569333333,-0.008817773,0.008558097,43
PSC predict,0~30000,0.5506,-0.005602754,0.005692759,43
PSC predict,15000~45000,0.5806,-0.005180429,0.004853621,101
PSC predict,0~45000,0.564355556,-0.004249531,0.004178221,101
PSC predict,15000~60000,0.584733333,-0.00540373,0.005034294,165
PSC predict,0~60000,0.571516667,-0.004649732,0.004482576,165
Spectral Clustering,15000,0.7258,0.301798452,0.370545481,21749
PSC,15000,0.5168,-0.015014136,0.020015986,62002
PSC predict,15000~30000,0.5516,-0.025902581,0.025912958,42
PSC predict,0~30000,0.5342,-0.020458359,0.022964472,42
PSC predict,15000~45000,0.5627,-0.023319899,0.022409638,93
PSC predict,0~45000,0.5474,-0.020551311,0.021611754,93
PSC predict,15000~60000,0.565755556,-0.024813867,0.023386334,167
PSC predict,0~60000,0.553516667,-0.022363934,0.022543747,167
Spectral Clustering,15000,0.534133333,0.000274263,0.005823408,47389
PSC,15000,0.513866667,-0.017467233,0.023076531,61992
PSC predict,15000~30000,0.553333333,-0.024413222,0.024235611,45
PSC predict,0~30000,0.5336,-0.020940228,0.023656071,45
PSC predict,15000~45000,0.5588,-0.027169136,0.025892246,107
PSC predict,0~45000,0.543822222,-0.023935168,0.024953675,107
PSC predict,15000~60000,0.562266667,-0.028304409,0.026448603,173
PSC predict,0~60000,0.550166667,-0.025595115,0.025605585,173
Spectral Clustering,30000,0.5581,0.002426949,0.007235035,365598
Spectral Clustering,30000,0.560166667,0.00726006,0.017423122,360657
Spectral Clustering,30000,0.5581,0.00485492,0.011211459,327733
Spectral Clustering,30000,0.557433333,0.004090108,0.00967634,303593
Spectral Clustering,30000,0.559766667,0.00526952,0.012784301,314750
Spectral Clustering,30000,0.558166667,0.00323011,0.008999186,329840
Spectral Clustering,30000,0.5574,0.002923232,0.007280539,327917
Spectral Clustering,30000,0.557066667,0.002066734,0.00632669,427505
Spectral Clustering,30000,0.5569,0.002675627,0.007327191,364593
Spectral Clustering,30000,0.557066667,0.002415525,0.006299527,376802
Spectral Clustering,45000,0.572977778,0.006571603,0.013661263,560562
Spectral Clustering,45000,0.573088889,0.01171572,0.022244356,661749
Spectral Clustering,45000,0.575,0.013965567,0.02641613,533659
Spectral Clustering,45000,0.617977778,0.100090206,0.116888901,661955
Spectral Clustering,45000,0.700866667,0.250921491,0.325597214,442181
Spectral Clustering,45000,0.574177778,0.009027747,0.01830134,595819
Spectral Clustering,45000,0.569777778,0.002571618,0.005997872,542240
Spectral Clustering,45000,0.570666667,0.003953138,0.007808168,668066
Spectral Clustering,45000,0.700777778,0.252348007,0.326017822,424557
Spectral Clustering,45000,0.572555556,0.006184955,0.012064779,508319
Spectral Clustering,60000,0.57535,-9.488093023165595e-05,0.0013411715972515917,2494792
Spectral Clustering,60000,0.5762,0.001065715938957004,0.002258763839964463,2535378
Spectral Clustering,60000,0.5757833333333333,0.00018271746520616088,0.0012270753310030464,2515981
Spectral Clustering,60000,0.57785,0.0035675939937047053,0.00753136496978698,2991117
Spectral Clustering,60000,0.5802833333333334,0.00893132522093998,0.016758716459490515,2523336
Spectral Clustering,60000,0.5755333333333333,-3.029099026271174e-05,0.0010777813613325525,4305924
Spectral Clustering,60000,0.5769666666666666,0.0019378995125415117,0.004345669644346904,4533653
Spectral Clustering,60000,0.5817,0.01185477606647345,0.020842547215947492,2796374
Spectral Clustering,60000,0.5804666666666667,0.0070371567387479865,0.0131267562055061,5259110
Spectral Clustering,60000,0.5788333333333333,0.0049813762655708475,0.009705214643907188,2781767
